Headline,Service Provider,Rating,Review Text,Place,Type,cleaned_rev,overall_sentiment,positive_score,neutral_score,negative_score,positive_aspects,negative_aspects
Hdfc Life Super Income Plan,HDFC LIFE,0,"Plz dont buy this HdFc life super income plan policy Because the bank will ask u for this Policy whenever u have an That much amount In ur bank so they will give u the policy Anyhow. Because I have the Same policy on My Mother's name so my mother is Expire on 3December 2019 ,So I have gone to Hdfc life office for Death claim so I gave all documents they need. And after 7-8 days I get the amount what I have paid no that which they said. Then I Ask for Reason they said u have dont submitted the documents(Means Medical documents) that we need. Whenever u bought this policy. So I told to them that when I purchase the policy the bank dont ask for any Medical Papers. So I get that amount only which I have paid in Installments I have paid 3 Installments. of 51000 or something",mumbai,Life Insurance,Plz do not buy this HdFc life super income plan policy Because the bank will ask you for this Policy whenever you have an That much amount In you are bank so they will give you the policy Anyhow Because I have the Same policy on My Mothers name so my mother is Expire on 3December 2019 So I have gone to Hdfc life office for Death claim so I gave all documents they need And after 78 days I get the amount what I have paid no that which they said Then I Ask for Reason they said you have do not submitted the documents that we need Whenever you bought this policy So I told to them that when I purchase the policy the bank do not ask for any Medical Papers So I get that amount only which I have paid in Installments I have paid 3 Installments of 51000 or something,negative,0.34,0.19,0.47,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken Jeevan policy which I got from LIC on 8 years back. The tenure period of 20 years. I use to pay the premium amount on yearly of 8K. It covers up to myself  for the good coverage amount. The benefit is after closing this policy i get good amount  after 10 yeas with interest amount. My father has taken this policy for me.,bangalore,Life Insurance,I have taken Jeevan policy which I got from LIC on 8 years back The tenure period of 20 years I use to pay the premium amount on yearly of 8K It covers up to myself for the good coverage amount The benefit is after closing this policy i get good amount after 10 yeas with interest amount My father has taken this policy for me,positive,1,0,0,,
Great policy,LIFE INSURANCE CORPORATION OF INDIA,5,Took my life insurance policy from LIC because its a trusted insurance company and i have bought the Jeevan Anand policy because the benefits is good because they have a two benefits one is maturity and other is death cover. I have chosen the payment of mode of quarterly basis. They are covering the tax benefits also.,chennai,Life Insurance,Took my life insurance policy from LIC because its a trusted insurance company and i have bought the Jeevan Anand policy because the benefits is good because they have a two benefits one is maturity and other is death cover I have chosen the payment of mode of quarterly basis They are covering the tax benefits also,positive,1,0,0,benefits,
Future for life,LIFE INSURANCE CORPORATION OF INDIA,3,"I just opened the new life insurance policy from LIC. Through agent i have bought the policy. For the life safety purpose, i have taken this policy. I bought the term insurance plan which has tax benefits also. I'm satisfied with the sum assured amount also. Monthly i pay the premium amount of Rs. 980. I pay the premium to the agent via cash.",chennai,Life Insurance,I just opened the new life insurance policy from LIC Through agent i have bought the policy For the life safety purpose i have taken this policy I bought the term insurance plan which has tax benefits also I Am satisfied with the sum assured amount also Monthly i pay the premium amount of Rs 980 I pay the premium to the agent via cash,positive,1,0,0,,
Best service,LIFE INSURANCE CORPORATION OF INDIA,5,"I have taken  life insurance policy directly through LIC agent .This was a maturity benefit policy which was taken for family benefits and the premium is paid  on  monthly basis. The premium is paid  through auto debit system ,still this active policy feature and benefits was clearly shared by the agent. I have not faced any issues and the policy documents got on time. Once the policy is closed will be getting the amount .",faizabad,Life Insurance,I have taken life insurance policy directly through LIC agent This was a maturity benefit policy which was taken for family benefits and the premium is paid on monthly basis The premium is paid through auto debit system still this active policy feature and benefits was clearly shared by the agent I have not faced any issues and the policy documents got on time Once the policy is closed will be getting the amount,positive,0.88,0.08,0.03,,
Good policy ,SHRIRAM LIFE,4,"I taken Life  insurance from SHRIRAM LIFE. My friend has suggested about that company so I chosen it. On yearly I need to pay the premium amount of  10,100 rupees. I taken this policy on 2 years back. The tenure period of 10 years. It covers my whole family. The coverage amount of 5L.",guntur,Life Insurance,I taken Life insurance from SHRIRAM LIFE My friend has suggested about that company so I chosen it On yearly I need to pay the premium amount of 10100 rupees I taken this policy on 2 years back The tenure period of 10 years It covers my whole family The coverage amount of 5L,neutral,0.48,0.52,0,,
Timely response,LIFE INSURANCE CORPORATION OF INDIA,1,Highly trusted brand of all has an acceptable level of customer service. they responded timely. the online site was pretty comprehensive and helped me to find the right product suited to my requirements. i would recommend it to all  for their life insurance needs.,mumbai,Life Insurance,Highly trusted brand of all has an acceptable level of customer service they responded timely the online site was pretty comprehensive and helped me to find the right product suited to my requirements i would recommend it to all for their life insurance needs,positive,1,0,0,"online site, product, brand, customer service",
Good Insurance plan,,5,"It was a good annuity I get from LIC so I have selected this company. My agent has preferred the good plan about my term insurance. I have been paying the premium amount of Rs. 25,000 annually.  They have provided me a sum assured value of Rs. 15L. I need to pay the premium amount for 15 years and the life is getting cover for till my death.",pune,Life Insurance,It was a good annuity I get from LIC so I have selected this company My agent has preferred the good plan about my term insurance I have been paying the premium amount of Rs 25000 annually They have provided me a sum assured value of Rs 15L I need to pay the premium amount for 15 years and the life is getting cover for till my death,positive,1,0,0,"annuity, plan",
Good policy,LIFE INSURANCE CORPORATION OF INDIA,4,"I taken a money back policy from Life Insurance Corporation of India. Its because of the tax benefits, I have purchased this policy. Every 5 years i will get the return to my hand. I am paying the premium amount of Rs. 4,000 per quarter. I pay the premium through net banking by using my credit card. This is a long term policy which as a term of 21 years.",chennai,Life Insurance,I taken a money back policy from Life Insurance Corporation of India Its because of the tax benefits I have purchased this policy Every 5 years i will get the return to my hand I am paying the premium amount of Rs 4000 per quarter I pay the premium through net banking by using my credit card This is a long term policy which as a term of 21 years,neutral,0.42,0.57,0.01,,
Good Policy,LIFE INSURANCE CORPORATION OF INDIA,4,Taken the child benefit policy for my son from the Life Insurance Corporation of India. I pay the premium amount of Rs. 3000 on a quarterly basis. Total term period of the policy is 18 years and there is no lockin period. I directly go to the office to pay the premium and the response was good in the branch.,bangalore,Life Insurance,Taken the child benefit policy for my son from the Life Insurance Corporation of India I pay the premium amount of Rs 3000 on a quarterly basis Total term period of the policy is 18 years and there is no lockin period I directly go to the office to pay the premium and the response was good in the branch,positive,0.99,0.01,0,response,
Well and good policy,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken my LIC policy long time ago because policies are good and its undertaken by Government also. Its around 8 years ago i bought the policy and its going to be matured in after 5 years. I have been paying the premium of Rs. 16000 on a quarterly basis. I make the premium through the agent.,bangalore,Life Insurance,I have taken my LIC policy long time ago because policies are good and its undertaken by Government also Its around 8 years ago i bought the policy and its going to be matured in after 5 years I have been paying the premium of Rs 16000 on a quarterly basis I make the premium through the agent,positive,0.98,0.02,0,policies,
Good Policy,TATA AIA LIFE INSURANCE,4,"My life insurance policy was taken from TATA AIA policy because one of my friend recommended me to take the money back policy. I am paying the premium amount of Rs. 14000 per annum. There is a term period of 10 years. Its covers for tax benefit also. After 7 years, they will refund the money back to my account and final year, i will get some lumpsum amount also.",bhubaneshwar,Life Insurance,My life insurance policy was taken from TATA AIA policy because one of my friend recommended me to take the money back policy I am paying the premium amount of Rs 14000 per annum There is a term period of 10 years Its covers for tax benefit also After 7 years they will refund the money back to my account and final year i will get some lumpsum amount also,positive,0.89,0.1,0.01,,
Good Policy,LIFE INSURANCE CORPORATION OF INDIA,4,Chosen my life insurance policy from LIC for the saving money purpose. LIC policies are covering tax benefits also so i have selected the Jeevan anand. I am paying the premium amount of Rs. 24000 per year. I get a lumpsum amount at the time of policy maturity and its cover for life cover also.,bhubaneshwar,Life Insurance,Chosen my life insurance policy from LIC for the saving money purpose LIC policies are covering tax benefits also so i have selected the Jeevan anand I am paying the premium amount of Rs 24000 per year I get a lumpsum amount at the time of policy maturity and its cover for life cover also,positive,0.91,0.09,0,,
Good ,LIFE INSURANCE CORPORATION OF INDIA,2,I have taken a life insurance in LIC. The policy is  about 20 years. Now I am paying premium of 10K on  yearly package. While getting a policy my agent has given an information about the policy details. I use to do payment through online. It covers up to myself.,pune,Life Insurance,I have taken a life insurance in LIC The policy is about 20 years Now I am paying premium of 10K on yearly package While getting a policy my agent has given an information about the policy details I use to do payment through online It covers up to myself,neutral,0.27,0.72,0.01,,
Need to improve customer service ,LIFE INSURANCE CORPORATION OF INDIA,2,"For any query about this policy need to contact LIC customer service but there will be no proper response from their end.  I can check on the website at any time for the  premium amount and additional charges which are good. On 15 years back, I taken this policy with tenure period of 25 years. On yearly I use to pay of 20K as premium amount. It covers up to myself.  The total amount coverage of 10L.",pune,Life Insurance,For any query about this policy need to contact LIC customer service but there will be no proper response from their end I can check on the website at any time for the premium amount and additional charges which are good On 15 years back I taken this policy with tenure period of 25 years On yearly I use to pay of 20K as premium amount It covers up to myself The total amount coverage of 10L,positive,0.96,0.01,0.03,,
Good insurer,LIFE INSURANCE CORPORATION OF INDIA,4,I have taken a life insurance policy of money back in LIC  on 3 years back. The policy is below of 20 years. Now I am paying premium on monthly  package need to pay of 2435 rupees. While getting a policy  agent has given an information about the policy details.  It covers up to myself and nominee is my spouse.,chennai,Life Insurance,I have taken a life insurance policy of money back in LIC on 3 years back The policy is below of 20 years Now I am paying premium on monthly package need to pay of 2435 rupees While getting a policy agent has given an information about the policy details It covers up to myself and nominee is my spouse,positive,0.79,0.18,0.03,,
Good policy,LIFE INSURANCE CORPORATION OF INDIA,4,"I got a Jeevan Gold policy from LIC which was  taken  on 7 years back. Since my friend was an agent in this company so he recommended to take this policy. He has given all the details and provided hard copy documents on time. The  tenure period of below 20 years. On monthly need to pay the amount for premium of 1,450 rupees. It covers up to myself and spouse.",chennai,Life Insurance,I got a Jeevan Gold policy from LIC which was taken on 7 years back Since my friend was an agent in this company so he recommended to take this policy He has given all the details and provided hard copy documents on time The tenure period of below 20 years On monthly need to pay the amount for premium of 1450 rupees It covers up to myself and spouse,positive,0.91,0.08,0.01,,
Good service,LIFE INSURANCE CORPORATION OF INDIA,5,I have taken life insurance policy directly through lic agent.This was a money back policy of jeevan bhima and the agent shared all the relevant information about the policy.I am paying the premium through online and the policy tenure is for 15 years and the premium is paid on quarterly basis .Once the tenure is completed will get money and this policy is taken for family benefits .,pune,Life Insurance,I have taken life insurance policy directly through lic agentThis was a money back policy of jeevan bhima and the agent shared all the relevant information about the policyI am paying the premium through online and the policy tenure is for 15 years and the premium is paid on quarterly basis Once the tenure is completed will get money and this policy is taken for family benefits,positive,0.71,0.27,0.02,,
Good Policy,LIFE INSURANCE CORPORATION OF INDIA,4,"From the Agent i have bought the LIC policy. For the home loan and tax benefit purpose, i have selected the LIC company. I pay the premium amount of Rs. 287 on a monthly basis. This policy has a term period of 25 years. Agent explained me about the features and benefits of the policy at the time of purchase.",kolkata,Life Insurance,From the Agent i have bought the LIC policy For the home loan and tax benefit purpose i have selected the LIC company I pay the premium amount of Rs 287 on a monthly basis This policy has a term period of 25 years Agent explained me about the features and benefits of the policy at the time of purchase,positive,0.76,0.23,0,,
